Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL2425144,,None,481.56,0,4.83,13,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(-n3cnc4c(N)ncnc43)cc2)cc1,Inhibition,'=',-66,%,,Outside typical range,,UO_0000187,,,,,0,CHEMBL2429608,Inhibition of CSK (unknown origin) at 1 uM by [33P]-ATP filter-binding assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL2424535,1,Scientific Literature,Bioorg Med Chem Lett,2013,None,,,,-66
CHEMBL3971067,,None,378.48,0,3,45,CC(C)n1cc(-c2cc(-c3ccc(CN4CCOCC4)cc3)cnc2N)nn1,Inhibition,'=',-49.5,%,,Outside typical range,,UO_0000187,,,,,0,CHEMBL4045911,Inhibition of CSK labeling at conserved Lys2 (VAVKCIK) in human PBMC at 0.1 uM,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL4043168,1,Scientific Literature,Bioorg Med Chem Lett,2017,None,,,,-49.5
CHEMBL1909373,GW701427A,None,497.9,0,4.88,GW701427A,COC(=O)Nc1nc2cc(Oc3ccc(NC(=O)Nc4cccc(C(=O)O)c4)cc3)ccc2[nH]1.Cl,Inhibition,'=',-42.48,%,,Outside typical range,,UO_0000187,,,,,0,CHEMBL1962255,GSK_PKIS: CSK mean inhibition at 1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,-42.48
CHEMBL3971067,,None,378.48,0,3,45,CC(C)n1cc(-c2cc(-c3ccc(CN4CCOCC4)cc3)cnc2N)nn1,Inhibition,'=',-39.3,%,,Outside typical range,,UO_0000187,,,,,0,CHEMBL4045668,Inhibition of CSK labeling at conserved Lys2 (VAVKCIK) in human PBMC at 1 uM,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL4043168,1,Scientific Literature,Bioorg Med Chem Lett,2017,None,,,,-39.3
CHEMBL3971067,,None,378.48,0,3,45,CC(C)n1cc(-c2cc(-c3ccc(CN4CCOCC4)cc3)cnc2N)nn1,Inhibition,'=',-34.1,%,,Outside typical range,,UO_0000187,,,,,0,CHEMBL4045667,Inhibition of CSK labeling at conserved Lys2 (VSDFGLTKEASSTQDTGKLPVK) in human PBMC at 1 uM,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL4043168,1,Scientific Literature,Bioorg Med Chem Lett,2017,None,,,,-34.1
CHEMBL2397859,,None,340.21,0,2.12,17c,Cl.O=c1[nH]nc2c(NCCCc3ccncc3)cc(Cl)cn12,Inhibition,'=',-29,%,,Outside typical range,,UO_0000187,,,,,0,CHEMBL2399992,Inhibition of human CSK at 10 uM relative to control,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL2396573,1,Scientific Literature,Bioorg Med Chem Lett,2013,None,,,,-29
CHEMBL2425156,,None,425.54,1,6.18,27,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(-c3cccnc3)cc2)cc1,Inhibition,'=',-26,%,,Outside typical range,,UO_0000187,,,,,0,CHEMBL2429608,Inhibition of CSK (unknown origin) at 1 uM by [33P]-ATP filter-binding assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL2424535,1,Scientific Literature,Bioorg Med Chem Lett,2013,None,,,,-26
CHEMBL1971943,BAY-549,None,402.79,0,4.71,EUB0000716,Cc1c[nH]c2nccc(Oc3c(F)cc(Nc4cc(Cl)nc(N)n4)cc3F)c12,Inhibition,'=',-21,%,,Outside typical range,Not Active,UO_0000187,,,,,0,CHEMBL4881510,CSK (h) Upstate kinase activity assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL4507274,54,SGC Frankfurt - Donated Chemical Probes,,2021,None,Compound concentration None 10.0 uM,,,-21
CHEMBL1915438,,None,372.82,0,4.97,14k,Clc1ccccc1Nc1nc2c(-c3nnc[nH]3)cccc2c2cnccc12,Inhibition,'=',-16,%,,Outside typical range,,UO_0000187,,,,,0,CHEMBL1919421,Inhibition of human recombinant CSK at 0.5 uM by radiometric filter-binding assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1914433,1,Scientific Literature,Bioorg Med Chem Lett,2011,None,,,,-16
CHEMBL4593677,BAY-474,None,289.34,0,3.15,EUB0000293,CC1=C(C#N)C(c2ccc3[nH]nc(C)c3c2)C(C#N)=C(C)N1,Inhibition,'=',-14,%,,Outside typical range,Not Active,UO_0000187,,,,,0,CHEMBL4880602,CSK (h) Millipore kinase activity assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL4507263,54,SGC Frankfurt - Donated Chemical Probes,,2021,None,Compound concentration None 1.0 uM,,,-14
CHEMBL261129,,None,430.31,0,3.37,SB-732881,CN1CCC(C(=O)Nc2n[nH]c3nc(-c4ccc(O)cc4)c(Br)cc23)CC1,Inhibition,'=',-13.75,%,,Outside typical range,,UO_0000187,,,,,0,CHEMBL1962254,GSK_PKIS: CSK mean inhibition at 0.1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL2634,Tyrosine-protein kinase CSK,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,,-13.75
