SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal,Cluster
CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](CCCCNC(=O)[C@H](CCCNC(N)=[NH2+])NC(=O)OCc1ccccc1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)c1cccnc1)C(=O)[O-],ligprep_CSK_2.sdf:3800,12116,Done,184.54,-11.9564,glide-grid_CSK,-12.5907,-2.28682,-1.66192,0,-0.851856,-72.2146,-26.4789,0.310606,-0.518181,-186.46,-98.6936,19.356,4
CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(N)=[NH2+])NC(=O)[C@H](C)[NH3+])C(C)C)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N1CCC[C@H]1C(=O)[O-],ligprep_CSK_2.sdf:3140,10062,Done,107.25,-11.2974,glide-grid_CSK,-12.0882,-2.44656,-2.11086,0,-0.701413,-54.7702,-39.799,0.5353,-0.626167,-178.541,-94.5692,18.3948,4
CC(C)[C@@H]1NC(=O)[C@H](CCCC[NH3+])NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](NC(=O)[C@H](N)Cc2ccc3ccccc3c2)CSSC[C@@H](C(=O)N[C@H](C(N)=O)[C@@H](C)O)NC1=O,ligprep_CSK_2.sdf:3110,9951,Done,24.64,-11.0746,glide-grid_CSK,-11.7628,-4.25886,-0.622343,0,-0.512551,-81.0615,-15.3671,0.056936,-0.0678304,-152.347,-96.4286,23.6197,11
CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@@H]([NH3+])CCCNC(N)=[NH2+])C(C)C)C(=O)N[C@@H](Cc1c[nH]c[nH+]1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)[O-],ligprep_CSK_2.sdf:3462,11120,Done,96.24,-10.9413,glide-grid_CSK,-11.7297,-2.70818,-0.899211,0,-1.7392,-47.6075,-27.9704,0.326239,-0.329007,-111.403,-75.5779,21.881,4
CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(N)=[NH2+])NC(=O)[C@@H]([NH3+])CC(=O)[O-])C(C)C)C(=O)N[C@@H](Cc1c[nH]c[nH+]1)C(=O)[O-],ligprep_CSK_2.sdf:3451,11023,Done,84.56,-10.642,glide-grid_CSK,-11.0697,-2.32959,-1.48867,0,-0.578811,-47.3346,-28.1522,0.448118,-0.754028,-138.172,-75.4868,28.1882,14
CC(C)[C@@H]1NC(=O)[C@H](CCCC[NH3+])NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](NC(=O)[C@H]([NH3+])Cc2ccc3ccccc3c2)CSSC[C@@H](C(=O)N[C@H](C(N)=O)[C@@H](C)O)NC1=O,ligprep_CSK_2.sdf:3110,9950,Done,34.5,-10.4806,glide-grid_CSK,-10.703,-3.77779,-0.356754,0,-0.413335,-80.0196,-14.2378,0.0564606,-0.0749235,-145.304,-94.2574,20.7514,11
C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](OCCc3ccc(O)c(O)c3)O[C@H](CO[C@@H]3OC[C@](O)(CO)[C@H]3O)[C@H]2OC(=O)/C=C/c2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@H]1O,ligprep_CSK_2.sdf:4069,13110,Done,56.22,-10.1058,glide-grid_CSK,-10.1058,-2.55278,-0.63609,0,-0.327911,-56.6978,-26.5908,0.23455,0,-128.128,-83.2887,18.0271,13
NC(=O)CC[C@H]([NH3+])C(=O)[N-]S(=O)(=O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,ligprep_CSK_2.sdf:5159,16546,Done,28.32,-9.95553,glide-grid_CSK,-9.98943,-0.938533,-0.712169,0,-2.52506,-41.0713,-26.8645,0.566323,-0.326434,-111.947,-67.9358,13.9345,7
NC(=[NH2+])NC(=O)C[C@H](Nc1nc(NC(N)=[NH2+])nc(N[C@H]2CC[C@@H](NC(=O)Cn3nnc(-c4ccc(F)cc4)n3)CC2)n1)C1CC1,ligprep_CSK_2.sdf:1654,4984,Done,21.95,-9.87095,glide-grid_CSK,-9.90825,-2.10706,-0.585248,0,-1.99287,-54.2119,-17.5317,0.51169,-0.39441,-120.496,-71.7436,17.0393,16
CSCC[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCCC[NH3+])NC(=O)[C@@H]([NH3+])Cc1c[nH]c2ccccc12)C(=O)N[C@H](C(=O)N[C@H](CCSC)C(N)=O)C(C)C,ligprep_CSK_2.sdf:5274,16821,Done,65.73,-9.84348,glide-grid_CSK,-10.0638,-2.25984,-1.19943,0,-0.131891,-55.8184,-26.7485,0.531526,-0.213222,-135.325,-82.5669,16.2478,18
CCC(=O)N[C@H]1CC[C@H](N2C(=O)N(c3ccccc3Cl)Cc3cnc(Nc4ccc(N5CC[NH+](C)CC5)c(C)c4)nc32)CC1,ligprep_CSK_2.sdf:527,1700,Done,7.27,-9.82373,glide-grid_CSK,-10.1543,-3.48292,-0.654485,0,-1.79708,-49.8885,-12.4422,0.179085,-0.0381789,-96.5264,-62.3306,5.94502,17
Cn1cc(C2=C(c3cn(CCCSC(N)=[NH2+])c4ccccc34)C(=O)NC2=O)c2ccccc21,ligprep_CSK_2.sdf:5178,16589,Done,6.8,-9.73912,glide-grid_CSK,-9.80062,-2.75838,-0.584235,0,-2.2049,-35.0073,-18.0715,0.468708,-0.260724,-89.1098,-53.0788,4.00602,17
NC(=O)c1cc2c(=O)n3ccccc3nc2[n+](Cc2ccccc2)c1N,ligprep_CSK_2.sdf:22739,67854,Done,1.85,-9.71939,glide-grid_CSK,-9.71939,-2.21365,-0.793735,0,-3.24645,-36.83,-12.8273,0.31694,-0.0169007,-78.3366,-49.6573,0.939515,16
NC(=[NH2+])NCCC[C@H]([NH3+])C(=O)[N-]S(=O)(=O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,ligprep_CSK_2.sdf:5160,16548,Done,23.76,-9.71813,glide-grid_CSK,-9.74423,-0.906258,-0.63993,0,-2.64969,-36.2613,-27.5169,0.677245,-0.41254,-111.952,-63.7782,13.1726,7
CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,ligprep_CSK_2.sdf:2758,9018,Done,2.6,-9.6203,glide-grid_CSK,-9.6203,-3.11052,-0.526657,0,-2.03568,-53.7721,-8.86652,0.0711318,0,-91.3436,-62.6386,3.47468,12
C[NH+](C)C/C=C/C(=O)Nc1cccc(C(=O)Nc2cccc(Nc3ncc(Cl)c(-c4c[nH]c5ccccc45)n3)c2)c1,ligprep_CSK_2.sdf:305,1029,Done,7.96,-9.61832,glide-grid_CSK,-9.81662,-2.79838,-0.407252,0,-1.55006,-52.144,-17.5172,0.392579,-0.218724,-119.048,-69.6613,6.3994,8
CSCC[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCCC[NH3+])NC(=O)[C@@H](N)Cc1c[nH]c2ccccc12)C(=O)N[C@H](C(=O)N[C@H](CCSC)C(N)=O)C(C)C,ligprep_CSK_2.sdf:5274,16822,Done,76.51,-9.61254,glide-grid_CSK,-10.3054,-1.62924,-0.916216,0,-0.36351,-69.5047,-27.1332,0.533313,-0.454549,-150.95,-96.6379,36.8913,18
N[C@@H](Cc1c[nH]c[nH+]1)C(=O)N[C@@H](Cc1c[nH]c[nH+]1)C(=O)N[C@@H](Cc1c[nH]c[nH+]1)C(=O)N[C@@H](Cc1c[nH]c[nH+]1)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](Cc1c[nH]c[nH+]1)C(=O)[O-],ligprep_CSK_2.sdf:3454,11040,Done,75.67,-9.59397,glide-grid_CSK,-11.0606,-1.76164,-0.963537,0,-1.18125,-61.3734,-46.1061,0.432796,-0.518264,-193.754,-107.479,21.8429,3
CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(N)=[NH2+])NC(=O)[C@H](C)[NH3+])C(C)C)C(=O)N[C@@H](Cc1c[nH]c[nH+]1)C(=O)N1CCC[C@H]1C(=O)[O-],ligprep_CSK_2.sdf:3141,10066,Done,104.29,-9.50776,glide-grid_CSK,-10.2759,-1.74493,-1.16749,0,-0.832071,-52.8832,-31.1672,0.533505,-0.42071,-138.031,-84.0504,23.1971,4
O=C1NC(=O)c2c1c(-c1ccccc1)cc1[nH]c3ccc(O)cc3c21,ligprep_CSK_2.sdf:4415,14058,Done,1.44,-9.4797,glide-grid_CSK,-9.5078,-2.8035,-0.740501,0,-2.75824,-38.3196,-9.41025,0.121954,0,-71.5227,-47.7299,2.06042,12
